image_id,hotel_id,chain_id,country_name,socket_detected,yolo_confidence,socket_class,class_confidence,socket_score
2646143,71952,-1,argentina,No,,NAN,,-1
2646144,71952,-1,argentina,No,,NAN,,-1
3935203,69060,-1,argentina,No,,NAN,,-1
3935204,69060,-1,argentina,No,,NAN,,-1
3935205,69060,-1,argentina,Yes,66.8,NOISE,54.8,0
2605775,74153,2,aruba,No,,NAN,,-1
2605777,74153,2,aruba,Yes,79.0,B,57.1,1
3877697,18035,59,aruba,Yes,74.2,B,99.5,1
3877698,18035,59,aruba,No,,NAN,,-1
2589141,17966,-1,australia,No,,NAN,,-1
2589142,17966,-1,australia,No,,NAN,,-1
2589144,17966,-1,australia,No,,NAN,,-1
2597682,15227,-1,australia,No,,NAN,,-1
2598402,34311,46,australia,No,,NAN,,-1
2598403,34311,46,australia,No,,NAN,,-1
2598404,34311,46,australia,No,,NAN,,-1
2601077,38962,51,australia,No,,NAN,,-1
2601877,23417,-1,australia,No,,NAN,,-1
2601878,23417,-1,australia,No,,NAN,,-1
2601988,90638,-1,australia,No,,NAN,,-1
2601989,90638,-1,australia,No,,NAN,,-1
2601991,90638,-1,australia,No,,NAN,,-1
2603432,34187,-1,australia,No,,NAN,,-1
2603747,13757,2,australia,No,,NAN,,-1
2604734,22558,-1,australia,No,,NAN,,-1
2604735,22558,-1,australia,No,,NAN,,-1
2604737,22558,-1,australia,No,,NAN,,-1
2611044,938,10,australia,No,,NAN,,-1
2614213,124843,-1,australia,No,,NAN,,-1
2615340,13757,2,australia,No,,NAN,,-1
2615341,13757,2,australia,No,,NAN,,-1
2615342,13757,2,australia,No,,NAN,,-1
2615343,13757,2,australia,No,,NAN,,-1
2615345,13757,2,australia,No,,NAN,,-1
2615346,13757,2,australia,Yes,81.5,DM,64.9,-1
2617652,49463,18,australia,No,,NAN,,-1
2617653,49463,18,australia,No,,NAN,,-1
2617654,49463,18,australia,No,,NAN,,-1
2622927,9465,3,australia,No,,NAN,,-1
2622929,9465,3,australia,No,,NAN,,-1
2624326,16407,58,australia,No,,NAN,,-1
2624328,16407,58,australia,No,,NAN,,-1
2624698,114794,88,australia,No,,NAN,,-1
2624702,114794,88,australia,No,,NAN,,-1
2624703,114794,88,australia,No,,NAN,,-1
2625792,32899,0,australia,No,,NAN,,-1
2626474,11695,46,australia,No,,NAN,,-1
2627119,3232,51,australia,No,,NAN,,-1
2627122,3232,51,australia,No,,NAN,,-1
2628574,7932,71,australia,No,,NAN,,-1
2628576,7932,71,australia,No,,NAN,,-1
2628577,7932,71,australia,Yes,85.9,B,95.4,-1
2637971,31993,0,australia,No,,NAN,,-1
2637974,31993,0,australia,No,,NAN,,-1
2639531,21778,51,australia,No,,NAN,,-1
